TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,
01-06-2020 00:00,TXN00000001,A00003822,PLC00008468,23-06-2015,16-05-2020,21-05-2020,Health,157.13,9000,Christopher Demarest,7701 West Saint John Road,#2010,Glendale,AZ,85308,087-11-1946,Y,54,89,Y,3,L,Own,LI,109134974,HXJP58258181908465,Bachelor,A,Major Loss,Police,0,1,GA,Savannah,4,AGENT00413,VNDR00556,
01-06-2020 00:00,TXN00000002,A00008149,PLC00009594,21-04-2018,13-05-2020,18-05-2020,Property,141.71,26000,Ricardo Gatlin,8595 West 81st Drive,,Arvada,CO,80005,685-33-3536,N,61,80,Y,4,L,Rent,MI,40125819,JUND46859540983731,Bachelor,A,Total Loss,Ambulance,1,0,AL,Montgomery,0,AGENT00769,VNDR00592,
01-06-2020 00:00,TXN00000003,A00003172,PLC00007969,03-10-2019,21-05-2020,26-05-2020,Property,157.24,13000,Lashawn Engles,637 Britannia Drive,,Vallejo,CA,94591,378-36-0672,N,47,68,Y,6,L,Rent,MI,99513168,WGZZ90128415227650,PhD,A,Total Loss,Police,0,1,CO,Grand Junction,19,AGENT00883,VNDR00031,
01-06-2020 00:00,TXN00000004,A00007572,PLC00009292,29-11-2016,14-05-2020,19-05-2020,Health,172.87,16000,Steven Bassett,2803 River Drive,,Thunderbolt,GA,31404,669-92-1861,Y,36,16,Y,7,L,Mortgage,MI,18429110,WIKE91555436351397,Masters,A,Minor Loss,Ambulance,0,0,GA,Savannah,12,AGENT00278,VNDR00075,
01-06-2020 00:00,TXN00000005,A00008173,PLC00000204,26-12-2011,17-05-2020,22-05-2020,Travel,88.53,3000,Jason Rodriguez,7573 National Drive,,Livermore,CA,94550,703-40-1033,Y,51,16,Y,2,M,Rent,HI,70752391,VYJW71311537294027,Masters,A,Major Loss,Police,0,1,TN,Nashville,18,AGENT00636,VNDR00472,
01-06-2020 00:00,TXN00000006,A00003571,PLC00007244,28-12-2012,20-05-2020,25-05-2020,Life,87.02,63000,Terrance Han,5275 North 59th Avenue,,Glendale,AZ,85301,059-08-4065,N,42,38,Y,2,M,Rent,MI,124246313,TMDB19464299963687,College,A,Major Loss,Ambulance,0,1,AZ,Glendale,0,AGENT00402,,
01-06-2020 00:00,TXN00000007,A00007245,PLC00002796,26-10-2012,13-05-2020,18-05-2020,Health,197.23,3000,Dennis Johnson,5119 Marla Drive,,Panama City,FL,32404,539-25-2348,Y,61,20,Y,7,L,Rent,MI,72461648,ZCMU49563664563577,NA,A,Major Loss,Police,1,1,CT,Manchester,10,AGENT00322,VNDR00150,
01-06-2020 00:00,TXN00000008,A00004301,PLC00002925,30-12-2018,14-05-2020,19-05-2020,Motor,83.77,8000,Maryalice Martinez,6 Little Country Place,,Savannah,GA,31406,791-66-5539,Y,35,97,Y,3,L,Rent,MI,89467431,ZLMN59372702463649,High School,A,Total Loss,Police,0,1,FL,Panama City Beach,10,AGENT00152,VNDR00326,
01-06-2020 00:00,TXN00000009,A00004671,PLC00006886,27-06-2019,21-05-2020,26-05-2020,Motor,82.14,5000,Nicholas Hamilton,642 South 2nd Street,#608,Louisville,KY,40202,427-41-7221,N,27,118,Y,4,H,Mortgage,MI,107890252,EVZR61264221554624,Bachelor,A,Major Loss,Police,0,1,AZ,Glendale,22,AGENT00450,VNDR00437,
01-06-2020 00:00,TXN00000010,A00002020,PLC00007657,19-12-2015,15-05-2020,20-05-2020,Travel,71.29,4000,Nicholas Honokaupu,1914 Stratford Downs Drive,,Montgomery,AL,36117,722-69-3392,Y,61,119,Y,4,L,Rent,HI,16215148,UXQB38236110828938,PhD,A,Major Loss,None,0,0,CA,San Leandro,4,AGENT00682,,
